genres,original_title,director,production_companies
"comedy,drama,fantasy",Dead Like Me: Life After Death,Stephen Herek,Metro-Goldwyn-Mayer (MGM)
"comedy,documentary",Farce of the Penguins,Bob Saget,FOTP Productions
drama,Flying By,,
"comedy,drama,music",Rudderless,William H. Macy,"Unified Pictures,Amberdale Productions,Tee Rob Pictures"
"animation,family",Henry & Me,Barrett Esposito,Henry & Me Productions
"comedy,romance",Christmas Eve,Mitch Davis,Unstuck
"crime,drama,tv movie,thriller",We Have Your Husband,Eric Bross,"Johnson Production Group,Silver Screen Pictures"
"drama,thriller",Dying of the Light,Paul Schrader,"TinRes Entertainment,Over Under Media"
"action,thriller,war",Born Of War,Vicky Jewson,"Jewson Film,Born of War"
"action,drama,science fiction,thriller",Capricorn One,Peter Hyams,"Associated General Films,Incorporated Television Company (ITC)"
"comedy,drama",Should've Been Romeo,Marcia Bennett,Phillybrook Films
family,Running Forever,,New Kingdom Pictures
"comedy,fantasy,horror,thriller",Yoga Hosers,Kevin Smith,"Invincible Pictures Corp.,Abbolita Productions,Destro Films"
"action,horror",Navy Seals vs. Zombies,Stanton Barrett,"Hollywood Media Bridge,Throne Productions"
"comedy,drama",Obsluhoval jsem anglického krále,Ji\u0159\u00ed Menzel,
"comedy,drama",Soul Kitchen,Fatih Akin,"Corazón International,Biograf Jan Svěrák"
drama,Sling Blade,Billy Bob Thornton,Miramax Films
"horror,thriller",The Awakening,Nick Murphy ,"BBC Films,Studio Canal,Creative Scotland,Origin Pictures,Lipsync Productions"
horror,Hostel,Eli Roth,"International Production Company,Raw Nerve,Lionsgate,Next Entertainment,Screen Gems,Hostel LLC"
"comedy,drama",A Cock and Bull Story,Michael Winterbottom,"Revolution Films,BBC Films,Baby Cow Productions,EM Media,Scion Films,East Midlands Media Initiative"
"drama,thriller",Take Shelter,Jeff Nichols,"Hydraulx,REI Capital,Grove Hill Productions,Strange Matter Films"
"horror,thriller",Lady in White,Frank LaLoggia,New Sky Communications Inc.
"comedy,drama",Driving Lessons,Jeremy Brock,
comedy,Let's Kill Ward's Wife,Scott Foley,Lost Rhino Films
horror,The Texas Chainsaw Massacre 2,Tobe Hooper,Cannon Films
western,Pat Garrett & Billy the Kid,Sam Peckinpah,Metro-Goldwyn-Mayer (MGM)
"crime,drama,thriller",Only God Forgives,Nicolas Winding Refn,"Gaumont,Wild Bunch,Bold Films,Film i Väst,A Grand Elephant"
"drama,romance",Camping Sauvage,Christophe Ali,
"comedy,romance",Without Men,Gabriela Tagliavini,
"drama,family",Dear Frankie,Shona Auerbach,"Scottish Screen,Pathé Pictures International,UK Film Council,Inside Track Productions,Sigma Films,Scorpio Films"
"action,comedy,drama,western",All Hat,Leonard Farlinger,New Real Films
"comedy,drama,romance",Le Nom des gens,Michel Leclerc,"Canal+,TPS Star,Delante Films,TF1 Droits Audiovisuels"
"comedy,drama",Treading Water,Analeine Cal y Mayor,"Rhombus Media,Mecanismo Films,Redrum"
drama,Savage Grace,Tom Kalin,"Celluloid Dreams,Killer Films,John Wells Productions,Montfort Producciones"
drama,Out of the Blue,Robert Sarkies,
"comedy,crime",Police Academy,Hugh Wilson,"Warner Bros.,The Ladd Company"
"adventure,drama,romance",The Blue Lagoon,Randal Kleiser,Columbia Pictures Corporation
"comedy,drama,romance",Four Weddings and a Funeral,Mike Newell,"Channel Four Films,PolyGram Filmed Entertainment,Working Title Films"
comedy,Fast Times at Ridgemont High,Amy Heckerling,"Universal Pictures,Refugee Films"
"adventure,drama",Moby Dick,John Huston,"Warner Bros.,Moulin Productions Inc."
"crime,drama",25th Hour,Spike Lee,"40 Acres & A Mule Filmworks,Touchstone Pictures"
"crime,drama,romance,thriller",Bound,Lilly Wachowski,"Dino De Laurentiis Company,Spelling Films"
"crime,drama",Requiem for a Dream,Darren Aronofsky,Artisan Entertainment
"music,romance",State Fair,Walter Lang,Twentieth Century Fox Film Corporation
"drama,romance","Tango, no me dejes nunca",Carlos Saura,Adela Pictures
drama,Salvador,Oliver Stone,Hemdale Film
comedy,Moms' Night Out,Jon Erwin,"TriStar Pictures,Provident Films,Pure Flix Entertainment,Affirm Films,FourBoys Entertainment"
"drama,fantasy,mystery",Donnie Darko,Richard Kelly,"Pandora Cinema,Flower Films,Adam Fields Productions"
"action,comedy",Salvando al Soldado Perez,Beto G\u00f3mez,
"drama,history",Karakter,Mike van Diem,"First Floor Features,Almerica Films"
"comedy,crime,drama",Spun,Jonas \u00c5kerlund,"Muse Productions,Brink Films,Silver Nitrate"
"comedy,drama",Life During Wartime,Todd Solondz,Werc Werk Works
"drama,thriller",친절한 금자씨,Park Chan-wook,"CJ Capital Investment,Korea Capital Investment,Moho Films,TSJ Entertainment,Samsung Venture Capital,Ilshin Capital Investments,Centurion Investment"
drama,"Nannerl, la soeur de Mozart",Ren\u00e9 F\u00e9ret,Les Films Alyne
"comedy,drama",Mean Machine,Barry Skolnick,SKA Films
"action,crime,thriller",放‧逐,Johnnie To,"Media Asia Films,Milky Way Image Company"
"action,adventure,western",Blackthorn,Mateo Gil,"Quickfire Films,Televisión Española (TVE),Arcadia Motion Pictures,Noodles Production,Canal+ España,Instituto de la Cinematografía y de las Artes Audiovisuales (ICAA),Instituto de Crédito Oficial (ICO),ONO,Ariane Mararía Films,Nix Films,Eter Pictures,Manto Films,Pegaso Producciones,Ibermedia European Community Program,Audiovisual Aval SGR"
"crime,drama",Lilja 4-Ever,Lukas Moodysson,"Det Danske Filminstitut,Memfis Film,Film i Väst"
"drama,horror,mystery,thriller",After.Life,Agnieszka Wojtowicz-Vosloo,"Plum Pictures,Harbor Light Entertainment,Lleju Productions"
"comedy,drama,thriller",Fugly,Kabir Sadanand,
drama,One Flew Over the Cuckoo's Nest,Milo\u0161 Forman,"United Artists,Fantasy Films,Warner Bros."
"comedy,horror",R.L. Stine's Monsterville: The Cabinet of Souls,Peter DeLuise,EveryWhere Studios
comedy,Silent Movie,Mel Brooks,Crossbow Productions
"action,drama,history,thriller",Airlift,Raja Menon,"T-Series,Hari Om Entertainment Co.,Cape Of Good Films"
"drama,family",Anne of Green Gables,Kevin Sullivan,Sullivan Entertainment
"action,adventure",Falcon Rising,Ernie Barbarash,Strohberry Films
"action,crime,drama",The Sweeney,Nick Love,"Vertigo Films,Exponential Films,Embargo Films"
"crime,drama,thriller",Sexy Beast,Jonathan Glazer,"Fox Searchlight Pictures,Kanzaman,Filmfour,Recorded Picture Company (RPC)"
"crime,drama,thriller",Snabba Cash,Daniel Espinosa,"Tre Vänner Produktion AB,Swedish Film Institute,Film i Väst"
"drama,family",Whale Rider,Niki Caro,South Pacific Pictures
"drama,family",Paa,,A B Corp
"mystery,science fiction,thriller",Cargo,Ivan Engler,"Telepool,Atlantis Pictures,Schweizerische Radio- und Fernsehgesellschaft (SRG),Ascot Elite Entertainment Group,Egli Film,Teleclub AG,Centauri Media"
"comedy,drama,family,music,tv movie",High School Musical,Kenny Ortega,Disney Channel
"drama,romance",Love and Death on Long Island,Richard Kwietniowski,"Arts Council of England,British Broadcasting Corporation (BBC),British Screen Productions"
"action,fantasy,thriller",Ночной дозор,Timur Bekmambetov,"Bazelevs Production,Channel One Russia,TABBAK,The First Channel"
"crime,drama,romance,thriller",The Crying Game,Neil Jordan,"Miramax Films,Channel Four Films,Palace Pictures,Nippon Film Development and Finance Inc.,Eurotrustees,British Screen Productions"
comedy,Porky's,Bob Clark,"Melvin Simon Productions,Astral Bellevue Pathé"
"horror,science fiction",Survival of the Dead,George A. Romero,"Devonshire Productions,Artfire Films,New Romero,Sudden Storm Productions,Blank of the Dead Productions"
horror,Night of the Living Dead,George A. Romero,"Laurel Group,Off Color Films,Image Ten,Market Square Productions"
drama,Lost in Translation,Sofia Coppola,American Zoetrope
"comedy,drama,romance",Annie Hall,Woody Allen,United Artists
"action,drama,romance",The Greatest Show on Earth,Cecil B. DeMille,Paramount Pictures
"drama,romance",Monster's Ball,Marc Forster,"Lions Gate Films,Lee Daniels Entertainment"
horror,Maggie,Henry Hobson,"Lionsgate,Grindstone Entertainment Group,Silver Reel,Sly Predator,Matt Baer Films,Gold Star Films,Lotus Entertainment (I)"
"drama,romance",Leaving Las Vegas,Mike Figgis,"United Artists,Intial Productions"
"comedy,horror",Hansel and Gretel Get Baked,Duane Journey,Tribeca Productions
"comedy,drama,romance",The Front Page,Billy Wilder,Universal Studios
thriller,The Boy Next Door,Rob Cohen,"Universal Pictures,Nuyorican Productions,Blumhouse Productions,Smart Entertainment"
drama,Trapeze,Carol Reed,Joanna Productions
"comedy,drama",The Kids Are All Right,Lisa Cholodenko,"Mandalay Vision,10th Hole Productions,Focus Features,Gilbert Films,Saint Aire Production,Artist International,Antidote Films (I),Artist International Management"
"action,horror,science fiction,thriller",They Live,John Carpenter,"Universal Pictures,Alive Films,Larry Franco Productions"
"adventure,drama,history,thriller,war",The Great Escape,John Sturges,"United Artists,The Mirisch Corporation"
documentary,What the #$*! Do We (K)now!?,William Arntz,Lord of the Wind
"horror,thriller",The Last Exorcism Part II,Ed Gass-Donnelly,"StudioCanal,CBS Films"
drama,Boyhood,Richard Linklater,"IFC Films,Detour Filmproduction"
"comedy,mystery",Scoop,Woody Allen,"BBC Films,Ingenious Film Partners,Ingenious Media,Perdido Prod."
"action,comedy",The Wash,DJ Pooh,Lionsgate
"action,comedy,romance",3 Strikes,DJ Pooh,
"drama,romance",The Cooler,Wayne Kramer,"ContentFilm,Pierce/Williams Entertainment"
"action,drama,romance",The Misfits,John Huston,"United Artists,Seven Arts Productions"
"drama,thriller",The Night Listener,Patrick Stettner,"Miramax Films,IFC Films,Fortissimo Films"
"comedy,crime",The Jerky Boys,James Melkonian,"Caravan Pictures,Touchstone Pictures"
"drama,horror,thriller",El orfanato,Juan Antonio Bayona,"Wild Bunch,Telecinco,Telecinco Cinema,Televisió de Catalunya TV3,Esta Vivo! Laboratorio de Nuevos Talentos,Grupo Rodar,Rodar y Rodar Cine y Televisión,Warner Bros. Pictures de España"
"comedy,horror",A Haunted House 2,Michael Tiddes,"Automatik Entertainment,Open Road Films"
"comedy,drama,romance",The Rules of Attraction,Roger Avary,Kingsgate Films
"action,drama,mystery,thriller",Topaz,Alfred Hitchcock,Universal Pictures
"comedy,crime",Let's Go to Prison,Bob Odenkirk,Universal Pictures
"comedy,crime",Four Rooms,Allison Anders,"Miramax Films,A Band Apart"
"comedy,drama,romance",Secretary,Steven Shainberg,"Slough Pond,double A Films"
documentary,The Real Cancun,Rick de Oliveira,
drama,Talk Radio,Oliver Stone,"Cineplex-Odeon Films,Ten-Four Productions"
"comedy,music",Waiting for Guffman,Christopher Guest,"Sony Pictures Classics,Castle Rock Entertainment,Pale Morning Dun,All Night Productions"
"comedy,romance",Love Stinks,Jeff Franklin,
"comedy,crime,romance,thriller",You Kill Me,John Dahl,"Echo Lake Productions,Bi-polar Pictures,Code Entertainment,Independent Film Group,Carol Baum Productions,Dillinger Productions,Green Tulip Productions"
"comedy,drama",Thumbsucker,Mike Mills,"Sony Pictures Classics,Bob Yari Productions"
"action,horror,thriller",Red State,Kevin Smith,"The Harvey Boys,NVSH Productions,Phase 4 Films"
fantasy,Mirrormask,Dave McKean,"Destination Films,Jim Henson Company, The"
"documentary,drama",Samsara,Ron Fricke,Magidson Films
"adventure,fantasy",The Barbarians,Ruggero Deodato,Cannon Films
"drama,romance",The Art of Getting By,Gavin Wiesen,"Goldcrest Films International,Atlantic Pictures,Gigi Productions"
"drama,thriller",Zipper,Mora Stephens,"Protozoa Pictures,Cargo Entertainment,33 Pictures"
"comedy,drama,thriller",Poolhall Junkies,Mars Callahan,Gold Circle Films
drama,The Loss of Sexual Innocence,Mike Figgis,"Summit Entertainment,Newmarket Capital Group,Red Mullet Productions"
"drama,fantasy",Holy Motors,Leos Carax,"Pandora Filmproduktion,Canal+"
drama,Joe,David Gordon Green,"Worldview Entertainment,Muskat Filmed Properties,Dreambridge Films,Rough House Pictures"
"comedy,crime,romance",Shooting Fish,Stefan Schwartz,"Arts Council of England,National Lottery,Gruber Bros.,Tomboy Films,Winchester Multimedia PLC"
"crime,drama,horror,thriller",Prison,Renny Harlin,Empire Pictures
comedy,Psycho Beach Party,Robert Lee King,"New Oz Productions,Red Horse Films"
comedy,The Big Tease,Kevin Allen,
drama,"Guten Tag, Ramón",Jorge Ram\u00edrez Su\u00e1rez,"Eficine 226,Beanca Films,Fondo de Inversión y Estímulos al Cine (FIDECINE),MPN Cologne Film 3"
"crime,drama,thriller",Trust,David Schwimmer,"Nu Image Films,Millennium Films,Dark Harbor Stories"
"comedy,crime",An Everlasting Piece,Barry Levinson,"Columbia Pictures,DreamWorks SKG,Baltimore Spring Creek Productions,Bayahibe Films Ltd."
"comedy,romance",Among Giants,Sam Miller,"Arts Council of England,British Broadcasting Corporation (BBC),British Screen Productions"
drama,Adore,Anne Fontaine,"Gaumont,Ciné@,Canal+,Screen Australia,Screen NSW,France Télévisions,France 2 Cinéma,Hopscotch Features,Mon Voisin Productions"
"drama,romance",The Velocity of Gary,Dan Ireland,"Ventanarosa Productions,Cineville,Columbia TriStar Home Video,Dan Lupovitz Productions"
drama,Los lunes al sol,Fernando Le\u00f3n de Aranoa,"Vía Digital,Eurimages,Continental Producciones,Instituto de la Cinematografía y de las Artes Audiovisuales (ICAA),Televisión de Galicia (TVG) S.A.,Antena 3 Televisión,Sogepaq,Elías Querejeta Producciones Cinematográficas S.L.,Mediapro,Quo Vadis Cinéma,Eyescreen S.r.l."
"action,drama,horror,science fiction,thriller",Stake Land,Jim Mickle,"Glass Eye Pix,Belladonna Productions,Off Hollywood Pictures"
drama,The Last Time I Committed Suicide,Stephen T. Kay,"Tapestry Films,The Kushner-Locke Company,Bates Entertainment"
drama,Praia do Futuro,Karim A\u00efnouz,"Coração da Selva,Hank Levine Film,Detailfilm,Watchmen Productions"
"comedy,drama",Another Happy Day,Sam Levinson,Filmula
"action,adventure,crime,thriller",A Lonely Place to Die,Julian Gilbey,"Carnaby International,Molinare Studios,Eigerwand Pictures"
"comedy,fantasy,science fiction",Nothing,Vincenzo Natali,
drama,Географ глобус пропил,Aleksandr Veledinskiy,Marmot-film
"comedy,drama,history,music",1776,Peter H. Hunt,Columbia Pictures Corporation
"romance,thriller",Inescapable,Ruba Nadda,"IFC Films,Myriad Pictures,Alliance Films"
"action,drama,history",Hell's Angels,James Whale,The Caddo Company
"comedy,drama,romance",Purple Violets,Edward Burns,
horror,The Veil,Phil Joanou,Blumhouse Productions
horror,The Loved Ones,Sean Byrne,"Omnilab Media,Ambience Entertainment,Screen Australia,Film Victoria"
horror,The Helpers,Chris Stokes,Brian Barrett Pictures
"comedy,romance,tv movie",How to Fall in Love,Mark Griffiths,"Annuit Coeptis Entertainment Inc.,Annuit Coeptis Entertainment II"
"adventure,drama,romance",The Perfect Wave,Bruce MacDonald,"Divine Inspiration, The Fabulous Boomtown Boys"
"drama,history",A Man for All Seasons,Fred Zinnemann,"Columbia Pictures Corporation,Highland Films"
drama,Network,Sidney Lumet,"United Artists,Metro-Goldwyn-Mayer (MGM)"
"drama,romance,war",Gone with the Wind,Victor Fleming,"Selznick International Pictures,Metro-Goldwyn-Mayer (MGM)"
drama,Desert Dancer,Richard Raymond,"Head Gear Films,Lipsync Productions,May 13 Films,CrossDay Productions Ltd.,Morocco Film Assistance"
"war,western",Major Dundee,Sam Peckinpah,"Columbia Pictures Corporation,Jerry Bresler Productions"
"action,comedy,music,romance,western",Annie Get Your Gun,George Sidney,Metro-Goldwyn-Mayer (MGM)
"comedy,crime,drama",Four Lions,Chris Morris,"Film4,Drafthouse Films,Warp Films,Wild Bunch Distribution"
drama,Casa de Areia,Andrucha Waddington,
"action,comedy,crime,drama",Defendor,Peter Stebbings,"Alliance Films,Darius Films,Insight Film Releasing"
"music,romance",The Pirate,Vincente Minnelli,Metro-Goldwyn-Mayer (MGM)
"comedy,drama,romance",The Good Heart,Dagur K\u00e1ri,Nimbus Film Productions
"comedy,drama",The History Boys,Nicholas Hytner,"DNA Films,BBC Films,UK Film Council"
drama,Midnight Cowboy,John Schlesinger,"United Artists,Florin Productions,Jerome Hellman Productions"
comedy,The Full Monty,Peter Cattaneo,"Channel Four Films,Twentieth Century Fox Film Corporation,Redwave Films"
comedy,Airplane!,Jerry Zucker,Paramount Pictures
"action,adventure,thriller",Chain of Command,Kevin Carraway,"Hollywood Media Bridge,LionsGate,Clear Lake Entertainment,Dog and Pony Media"
comedy,Friday,F. Gary Gray,New Line Cinema
"action,crime,drama",Menace II Society,Albert Hughes,New Line Cinema
horror,Creepshow 2,Michael Gornick,"New World Pictures,Laurel Entertainment Inc."
"action,comedy,western",The Ballad of Cable Hogue,Sam Peckinpah,Warner Bros.
"crime,drama",In Cold Blood,Richard Brooks,"Columbia Pictures Corporation,Pax Enterprises"
drama,The Nun's Story,Fred Zinnemann,Warner Bros.
"action,crime,drama,mystery,thriller",Harper,Jack Smight,Warner Bros.
"crime,drama,mystery,thriller",Frenzy,Alfred Hitchcock,Universal Pictures
"horror,mystery",The Witch,Robert Eggers,"Parts and Labor,RT Features,Rooks Nest Entertainment,Maiden Voyage Pictures,Pulse Films,Scythia Films,Code Red Productions,Mott Street Pictures,Very Special Projects"
"action,comedy",I Got the Hook Up,Michael Martin,"Dimension Films,No Limit Films"
"comedy,romance",She's the One,Edward Burns,Fox Searchlight Pictures
drama,Gods and Monsters,Bill Condon,"Lions Gate Films,Flashpoint (I),Showtime Networks"
"crime,drama,mystery,romance",El secreto de sus ojos,Juan Jos\u00e9 Campanella,"100 Bares,Haddock Films S.R.L.,Instituto Nacional de Cine y Artes Audiovisuales (INCAA),Televisión Española (TVE),Tornasol Films,Canal+ España,Ministerio de Cultura,Instituto de Crédito Oficial (ICO),Televisión Federal (Telefe)"
"horror,thriller",Train,Gideon Raff,"Nu Image Films,Millennium Films"
"comedy,fantasy,horror",Evil Dead II,Sam Raimi,"Renaissance Films,Rosebud Productions"
"action,comedy",Pootie Tang,Louis C.K.,
"horror,tv movie",Sharknado,Anthony C. Ferrante,"The Asylum,Syfy,Southward Films"
drama,La otra conquista,Salvador Carrasco,
"fantasy,horror",Trolljegeren,Andr\u00e9 \u00d8vredal,"Filmkameratene A/S,Film Fund FUZZ,SF Norge A/S"
"comedy,romance",Ira & Abby,Robert Cary,
"comedy,drama",Winter Passing,Adam Rapp,"Yari Film Group,Stratus Film Co."
action,D.E.B.S.,Angela Robinson,"Destination Films,Andrea Sperling Productions,Screen Gems,Anonymous Content"
"action,crime",The Masked Saint,Warren P. Sonoda,Freestyle Releasing
"crime,drama,mystery,thriller",The Betrayed,Amanda Gusack,Metro-Goldwyn-Mayer (MGM)
"action,comedy,crime,thriller",Taxman,Avi Nesher,Counterclock Productions
drama,The Secret,Nick Murphy ,
"horror,mystery,thriller",2:13,Charles Adelman,"Anthem Pictures,It's An Us Thing Productions Inc."
"action,animation","Batman: The Dark Knight Returns, Part 2",Jay Oliva,"DC Comics,Warner Bros. Animation,Warner Premiere,DC Entertainment"
documentary,Time to Choose,Charles Ferguson,Representational Pictures
"action,adventure,drama,fantasy",In the Name of the King III,Uwe Boll,
"action,drama,thriller",Wicked Blood,Mark Young,"NAZZ Productions,Industrial Entertainment,Primary PIctures,Thunder Smoke Media,VMI Worldwide"
drama,Dawn Patrol,"Daniel Petrie, Jr.",Enderby Entertainment
"crime,mystery,thriller",Lords of London,Antonio Simoncini,
"comedy,music",High Anxiety,Mel Brooks,"Twentieth Century Fox Film Corporation,Crossbow Productions"
"documentary,family",La Marche de l'empereur,Luc Jacquet,"Wild Bunch,Canal+,Buena Vista International Film Production France,Alliance de Production Cinematographique (APC),L'Institut Polare Français Paul-Émile Victor,National Geographic Films,Bonne Pioche"
"drama,thriller",Margin Call,J.C. Chandor,"Benaroya Pictures,Before the Door Pictures,Washington Square Films,Untitled Entertainment"
drama,August,Eldar Rapaport,
"comedy,drama",Choke,Clark Gregg,"Fox Searchlight Pictures,Contrafilm,ATO Pictures,Aramid Entertainment Fund,Dune Entertainment III,Choke Film"
drama,Whiplash,Damien Chazelle,"Bold Films,Blumhouse Productions,Right of Way Films"
"crime,drama",Cidade de Deus,Fernando Meirelles,"O2 Filmes,VideoFilmes,Wild Bunch,Globo filmes,Lumiere,Hank Levine Film,Lereby Productions"
"comedy,drama",Human Traffic,Justin Kerrigan,Irish Screen
"drama,music",To Write Love on Her Arms,Nathan Frankowski,"Two Streets Entertainment,Birchwood Pictures,Noble Pictures,Valencia Motion Pictures"
"crime,drama,mystery,thriller",The Dead Girl,Karen Moncrieff,"Lakeshore Entertainment,Bruin Grip Services,Pitbull Pictures"
drama,Jagten,Thomas Vinterberg,"Zentropa Entertainments,Det Danske Filminstitut,Danmarks Radio (DR),Eurimages,MEDIA Programme of the European Union,Sveriges Television (SVT),Svenska Filminstitutet (SFI),Nordisk Film- & TV-Fond,Film Väst"
"comedy,family",A Christmas Story,Bob Clark,"Metro-Goldwyn-Mayer (MGM),Christmas Tree Films"
"drama,romance",Bella,Alejandro Monteverde,"Mpower Pictures,Metanoia Films,Burnside Entertainment,Bella Productions,One Media, The"
"action,crime,drama,horror,thriller",Class of 1984,Mark L. Lester,Guerilla High Productions
comedy,Opposite Sex,Jonathan Silverman,"Magna Global Entertainment,Verdi Productions"
"drama,romance",Dreaming of Joseph Lees,Eric Styles,Fox Entertainment Group
drama,Entre les murs,Laurent Cantet,"Haut et Court,France 2 Cinéma"
"drama,horror,mystery",Rosemary's Baby,Roman Polanski,"Paramount Pictures,William Castle Productions"
western,The Man Who Shot Liberty Valance,John Ford,"Paramount Pictures,John Ford Productions"
"drama,romance",Adam,Max Mayer,"Vox3 Films,Serenade Films,Olympus Pictures,Deer Path Productions,Northwood Productions"
"crime,drama,thriller","María, llena eres de gracia",Joshua Marston,"Fine Line Features,Journeyman Pictures,HBO Films"
"comedy,drama,romance",Beginners,Mike Mills,"Parts and Labor,Olympus Pictures,Focus Features"
"action,comedy,horror",Feast,John Gulager,"Neo Art & Logic,Dimension Films,Maloof Motion Pictures"
comedy,Animal House,John Landis,"Universal Pictures,Oregon Film Factory,Stage III Productions"
"action,adventure,thriller",Goldfinger,Guy Hamilton,"United Artists,Eon Productions,Danjaq"
"horror,science fiction",Antiviral,Brandon Cronenberg,"Alliance Films,Telefilm Canada,TF1 International"
"drama,family,fantasy",It's a Wonderful Life,Frank Capra,"RKO Radio Pictures,Liberty Films (II)"
"crime,drama",Trainspotting,Danny Boyle,"Miramax Films,Channel Four Films,Noel Gay Motion Picture Company,Figment Films,Film4"
comedy,The Original Kings of Comedy,Spike Lee,40 Acres & A Mule Filmworks
"horror,thriller",Paranormal Activity 2,Tod Williams,"Paramount Pictures,Blumhouse Productions,Solana Films"
"comedy,romance",Waking Ned,Kirk Jones,"Fox Searchlight Pictures,Canal+,Tomboy Films"
documentary,Bowling for Columbine,Michael Moore,"Alliance Atlantis Communications,TiMe Film- und TV-Produktions GmbH,Vif Babelsberger Filmproduktion GmbH & Co. Zweite KG,Dog Eat Dog Films,Iconolatry Productions Inc.,Salter Street Films International,United Broadcasting Inc."
drama,归来,Zhang Yimou,LeVision Pictures
horror,A Nightmare on Elm Street Part 2: Freddy's Revenge,Jack Sholder,"New Line Cinema,Smart Egg Pictures"
"drama,romance",A Room with a View,James Ivory,"Goldcrest Films International,National Film Finance Corporation (NFFC),Curzon Film Distributors"
"horror,science fiction,thriller",The Purge,James DeMonaco,"Universal Pictures,Why Not Productions,Platinum Dunes,Blumhouse Productions,20th Century Fox Russia"
"horror,mystery,thriller",Sinister,Scott Derrickson,"Alliance Films,Blumhouse Productions,IM Global,Automatik Entertainment,Possessed Pictures"
comedy,Martin Lawrence Live: Runteldat,Martin Lawrence,
"drama,romance",Cat on a Hot Tin Roof,Richard Brooks,"Avon Production,Metro-Goldwyn-Mayer (MGM)"
"adventure,mystery,science fiction",Beneath the Planet of the Apes,Ted Post,"Twentieth Century Fox Film Corporation,APJAC Productions"
"comedy,drama,family",Air Bud,Charles Martin Smith,Walt Disney Pictures
"action,adventure,animation,family,fantasy",Pokémon 3: The Movie,Michael Haigney,"TV Tokyo,4 Kids Entertainment,Nintendo,Pikachu Project,Oriental Light and Magic (OLM),Kids' WB,Pikachu Project 2001,Shoakuken"
"horror,mystery,thriller",Friday the 13th Part VI: Jason Lives,Tom McLoughlin,Paramount Pictures
"drama,history,war",The Bridge on the River Kwai,David Lean,"Columbia Pictures Corporation,Horizon Pictures (II)"
"comedy,family,science fiction",Spaced Invaders,Patrick Read Johnson,"Touchstone Pictures,Silver Screen Partners IV"
"comedy,crime,thriller",Family Plot,Alfred Hitchcock,Universal Pictures
"comedy,drama,romance",The Apartment,Billy Wilder,"United Artists,The Mirisch Company"
"fantasy,horror,thriller",Jason Goes to Hell: The Final Friday,Adam Marcus,"New Line Cinema,Sean S. Cunningham Films"
"mystery,thriller",Torn Curtain,Alfred Hitchcock,Universal Pictures
"comedy,documentary,music",Dave Chappelle's Block Party,Michel Gondry,Yari Film Group
"romance,thriller,western",Slow West,John Maclean,"The New Zealand Film Commission,Film4,See Saw Films,A24,DMC Films"
"drama,music,romance",Krush Groove,Michael Schultz,"Warner Bros.,Visual Eyes Productions,Film Development Fund,Crystalite Productions"
"action,comedy,crime",Next Day Air,Benny Boom,"Melee Entertainment,Next Day Air Productions,Secret Society Films"
drama,Elmer Gantry,Richard Brooks,United Artists
"drama,history",Judgment at Nuremberg,Stanley Kramer,"United Artists,Roxlom Films"
"comedy,romance",Trippin',David Raynr,Beacon Communications
western,Red River,Howard Hawks,"United Artists,Monterey Productions,Charles K. Feldman Group"
"comedy,romance",Phat Girlz,Nnegest Likk\u00e9,
"drama,romance",Before Midnight,Richard Linklater,"Castle Rock Entertainment,Detour Filmproduction,Faliro House Productions,Venture Forth"
"comedy,family,fantasy",Teen Wolf Too,Christopher Leitch,Atlantic Entertainment Group
"action,horror,science fiction,thriller",Phantasm II,Don Coscarelli,"Universal Pictures,Spacegate Productions,Starway International Inc."
drama,Woman Thou Art Loosed,Michael Schultz,
"comedy,drama",Real Women Have Curves,Patricia Cardoso,
"drama,romance",Water,Deepa Mehta,"David Hamilton Productions,Echo Lake Productions,Flagship International,Noble Nomad Pictures"
comedy,East Is East,Damien O'Donnell,"BBC,Assassin Films,Film4"
"comedy,romance",Whipped,Peter M. Cohen,Hi-Rez Films
"drama,history,romance",Kama Sutra - A Tale of Love,Mira Nair,"Mirabai Films,NDF International"
"comedy,drama",Please Give,Nicole Holofcener,"Sony Pictures Classics,Likely Story,Feelin' Guilty"
"family,fantasy",Willy Wonka & the Chocolate Factory,Mel Stuart,"Paramount Pictures,David L. Wolper Productions"
"fantasy,horror,science fiction",Warlock: The Armageddon,Anthony Hickox,"Tapestry Films,Trimark Pictures"
"comedy,crime",8 Heads in a Duffel Bag,Tom Schulman,"Orion Pictures,Brad Krevoy & Steve Stabler production"
"drama,romance",Days of Heaven,Terrence Malick,Paramount Pictures
drama,Thirteen Conversations About One Thing,Jill Sprecher,
comedy,Jawbreaker,Darren Stein,"TriStar Pictures,Crossroads Films,Kramer-Tornell Productions"
"drama,history",Basquiat,Julian Schnabel,"Miramax,Eleventh Street Production,Jon Kilik"
"comedy,drama",Frances Ha,Noah Baumbach,"Scott Rudin Productions,RT Features,Pine District Pictures"
"crime,drama",Tsotsi,Gavin Hood,"Movieworld Productions,Industrial Development Corporation of South Africa,UK Film & TV Production Company,National Film & Video Foundation of South Africa"
"comedy,drama",Happiness,Todd Solondz,"Killer Films,Good Machine"
"comedy,documentary",DysFunktional Family,George Gallo,Brad Grey Pictures
"comedy,horror",Tusk,Kevin Smith,"Phase 4 Films,Demarest Films,SModcast Pictures,A24"
"action,drama,mystery,thriller",올드보이,Park Chan-wook,"Egg Films,Show East"
